timestamp_ms,ax,ay,az,gx,gy,gz
2940,0.0591,0.0137,1.0457,0.2443,-2.6565,-0.9924
2951,0.0649,-0.0635,1.0437,0.1679,-2.5496,-0.9618
2960,0.0625,-0.0510,0.9963,0.2595,-2.4580,-0.7328
2970,0.0566,0.0156,1.0447,0.1985,-2.6412,-0.9924
2980,0.0640,-0.0642,1.0471,0.2595,-2.5038,-0.9008
2990,0.0620,-0.0061,0.9922,0.2595,-2.5496,-0.7176
3000,0.0547,-0.0027,1.0872,0.1679,-2.6260,-0.9618
3010,0.0645,-0.0603,1.0408,0.2443,-2.5191,-0.9160
3025,0.0579,0.0173,1.0491,0.1679,-2.5649,-0.8244
3030,0.0527,-0.0073,1.0859,0.1527,-2.6107,-0.8092
3040,0.0662,-0.0618,1.0371,0.2595,-2.5649,-0.7481
3050,0.0601,-0.0024,0.9949,0.2748,-2.5038,-0.7786
3060,0.0532,-0.0071,1.0898,0.1679,-2.6870,-0.8550
3070,0.0676,-0.0605,1.0352,0.2595,-2.5496,-0.8855
3080,0.0642,0.0002,0.9978,0.3053,-2.5496,-0.8092
3090,0.0569,-0.0085,1.0938,0.1985,-2.6260,-0.8397
3100,0.0693,-0.0623,1.0303,0.2595,-2.5344,-0.7481
3110,0.0627,0.0015,0.9998,0.3053,-2.5954,-0.7634
3120,0.0552,-0.0105,1.0925,0.2443,-2.6870,-0.7939
3130,0.0662,-0.0620,1.0234,0.1374,-2.3511,-0.6718
3140,0.0632,0.0024,1.0007,0.1832,-2.5802,-0.8244
3150,0.0544,-0.0110,1.0925,0.2137,-2.6260,-0.9771
3160,0.0647,-0.0647,1.0222,0.1985,-2.4427,-0.8702
3170,0.0642,0.0024,1.0071,0.2137,-2.7023,-0.8855
3180,0.0559,-0.0088,1.0938,0.2443,-2.6718,-0.8855
3190,0.0671,-0.0642,1.0193,0.1985,-2.3969,-0.9160
3201,0.0623,0.0059,1.0056,0.2290,-2.7023,-0.8092
3210,0.0564,-0.0142,1.0940,0.2137,-2.6107,-0.8244
3220,0.0715,-0.0635,1.0173,0.2595,-2.4427,-0.8550
3230,0.0669,0.0068,1.0068,0.1832,-2.6565,-0.8855
3240,0.0547,-0.0142,1.0898,0.2290,-2.5802,-0.9008
3250,0.0676,-0.0601,1.0200,0.3664,-2.4275,-0.8550
3260,0.0623,0.0083,1.0105,0.1679,-2.6870,-0.9008
3270,0.0500,-0.0132,1.0862,0.1679,-2.6260,-0.7786
3280,0.0671,-0.0620,1.0183,0.3053,-2.4885,-0.6718
3290,0.0654,0.0056,1.0100,0.2290,-2.6412,-0.9008
3300,0.0532,-0.0149,1.0842,0.2443,-2.6107,-0.9313
3310,0.0654,-0.0640,1.0186,0.2137,-2.5802,-0.7939
3320,0.0535,0.0134,1.0652,0.1985,-2.5496,-0.9771
3330,0.0596,-0.0522,1.0737,0.1069,-2.7481,-0.7786
3340,0.0625,-0.0322,0.9907,0.2290,-2.5191,-0.6260
3350,0.0549,0.0137,1.0637,0.3053,-2.5496,-0.9466
3360,0.0569,-0.0508,1.0728,0.1374,-2.6870,-0.9466
3370,0.0620,-0.0317,0.9880,0.2595,-2.5191,-0.8702
